Name,Abbr,R.A. (J2000),Decl. (J2000),Dist [kpc],rhalf [kpc],arXiv
Bootes I,Boo I,14:00:06.0,+14:30:00,66,0.242,1204.1562
Canes Venatici I,CVn I,13:28:03.5,+33:33:21,218,0.564,1204.1562
Canes Venatici II,CVn II,12:57:10.0,+34:19:15,160,0.074,1204.1562
Carina,Car,06:41:36.7,-50:57:58,105,0.25,1204.1562
Coma Berenices,Com,12:26:59.0,+23:54:15,44,0.077,1204.1562
Draco,Dra,17:20:12.4,+57:54:55,76,0.221,1204.1562
Fornax,For,02:39:59.3,-34:26:57,147,0.71,1204.1562
Hercules,Her,16:31:02.0,+12:47:30,132,0.33,1204.1562
Leo I,Leo I,10:08:28.1,+12:18:23,254,0.251,1204.1562
Leo II,Leo II,11:13:28.8,+22:09:06,233,0.176,1204.1562
Leo IV,Leo IV,11:32:57.0,-00:32:00,154,0.206,1204.1562
Leo T,Leo T,09:34:53.4,+17:03:05,417,0.12,1204.1562
Leo V,Leo V,11:31:09.6,+02:13:12,178,0.135,1204.1562
Sculptor,Scl,01:00:09.4,-33:42:33,86,0.283,1204.1562
Segue 1,Seg I,10:07:04.0,+16:04:55,23,0.029,1204.1562
Segue 2,Seg II,02:19:16.0,+20:10:31,35,0.035,1204.1562
Sextans,Sex,10:13:03.0,-01:36:53,86,0.695,1204.1562
Ursa Major I,UMa I,10:34:52.8,+51:55:12,97,0.319,1204.1562
Ursa Major II,UMa II,08:51:30.0,+63:07:48,32,0.149,1204.1562
Willman I,Will I,10:49:22,+51:03:03.6,38,0.025,1204.1562
Ursa Minor,UMi,15:09:08.5,+67:13:21,76,0.181,1204.1562
